video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
798.0,2026-08-17 19:28:04,@BrandoKOmmando91,,IM JUST SAYIN,neutral,vader,,"use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old",true
799.0,2026-08-17 19:28:05,@S.D.L-m1j,,Stop moving:face-fuchsia-tongue-out:..lol,negative,vader,,"use after she says something mean. She says, ""I'm just saying like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old",true
802.0,2026-08-17 19:28:08,@albannach7943,,maybe thats the comedy..,positive,vader,,"like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at",true
803.0,2026-08-17 19:28:09,@Freddycougar1278,,Anybody else think the ghost girl from the ring kinda bad and bang they meat on the tv trying to lure her out? ,negative,vader,,"like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think",true
804.0,2026-08-17 19:28:10,@CarlCramer88,,Anyone else getting secondhand embarrassment,negative,vader,,"like it's some kind of magic eraser to make what she just said okay somehow."" So she'll say, ""Hey, Dad, why don't you go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think",true
809.0,2026-08-17 19:28:15,@matisari7982,,IMMM JUSSS SAYINN,neutral,vader,,"go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you",true
810.0,2026-08-17 19:28:16,@ONWARD24seven,,a Horse walks into a bar and the bartender says hay why the long face.,neutral,vader,,"go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that",true
811.0,2026-08-17 19:28:17,@Gir-Riff-raff,,Censoring offensive comedy killed standup ,negative,phrase_or_manual,,"go to the gym? You're getting kind of fat."" I'm just saying. So, I just say to her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that",true
815.0,2026-08-17 19:28:21,@pijinFPS,,extreme corn nuts got nothing on this guy,negative,vader,,"her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner",true
817.0,2026-08-17 19:28:23,@albannach7943,,i mean tell the same joke long enoug and its a running gag,negative,vader,,"her, ""Honey, you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying.",true
819.0,2026-08-17 19:28:25,@Grimm_Destroyer,,this guy sucks im just saying lol,positive,vader,,"you are a 36-year-old customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying.",true
821.0,2026-08-17 19:28:27,@SirCreamsAlott,,boooooooo,neutral,vader,,"customer service rep who still lives at home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time.",true
824.0,2026-08-17 19:28:30,@cynical-bass-terd9531,,ooof,neutral,vader,,"home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time.",true
826.0,2026-08-17 19:28:32,@JimboTheComic,,This is way better than our bottom BEWARE ,positive,vader,,"home with her parents. And if you think you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time.",true
828.0,2026-08-17 19:28:34,@BrandoKOmmando91,,Time for the interview ,neutral,vader,,"you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and",true
829.0,2026-08-17 19:28:35,@allisonnicole55,,Wow ,positive,vader,,"you're going to inherit this house, you got another thing coming because that goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger.",true
834.0,2026-08-17 19:28:40,@JoSpecter,,Worst standup,negative,vader,,"goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your",true
835.0,2026-08-17 19:28:41,@JimboTheComic,,SIGN THE WAIVER ,neutral,vader,,"goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in",true
836.0,2026-08-17 19:28:42,@I_AM_VISION_ICONIC,,"someone give this man a few "" lines"" the white ones :rolling_on_the_floor_laughing::smiling_face_with_horns::popcorn::chair::fire::fire::fire:",neutral,vader,,"goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in",true
836.0,2026-08-17 19:28:42,@MissTessaMarie21,,oh man..I'm late!! :tired_face::tired_face::tired_face:,neutral,vader,,"goes to the winner of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in",true
838.0,2026-08-17 19:28:44,@S2P999,,BOOOOO YOU STINK,negative,vader,,"of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear",true
840.0,2026-08-17 19:28:46,@S.D.L-m1j,,Jimbo..lol,neutral,vader,,"of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All",true
841.0,2026-08-17 19:28:47,@ONWARD24seven,,bravo :clapping_hands:,neutral,vader,,"of the death lottery."" I'm just saying. Thanks, guys. That's my time. Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right.",true
846.0,2026-08-17 19:28:52,@radiostarkilla21,,Tell your story,neutral,vader,,"Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next.",true
849.0,2026-08-17 19:28:55,@garyOh0901,,do they get paid?,neutral,vader,,"Keep going for Rick Jagger, ladies and gentlemen. Rick Jagger. >> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E.",true
850.0,2026-08-17 19:28:56,@S2P999,,MAKE A 9/11 JOKE,positive,vader,,">> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the",true
854.0,2026-08-17 19:29:00,@dirtydingo250,,Jimbo can you go up and be offensive?,negative,vader,,">> You know, one day we have to hear your wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday.",true
856.0,2026-08-17 19:29:02,@CarlCramer88,,I vote for the chair at the end,neutral,vader,,"wife's comedy set. I feel like that's in order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic",true
858.0,2026-08-17 19:29:04,@BigSnake-D2B,,i didnt bang my meat i waited behind the armchair with a blanket to capure her,neutral,vader,,"order, right? One day we'll have to hear what the Jagger wife has to say. All right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei,",true
863.0,2026-08-17 19:29:09,@BrandoKOmmando91,,No,negative,vader,,"right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
863.0,2026-08-17 19:29:09,@I_AM_VISION_ICONIC,,it's party time :rolling_on_the_floor_laughing::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::smiling_face_with_horns::popcorn::chair:,positive,vader,,"right. On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
866.0,2026-08-17 19:29:12,@ONWARD24seven,,I think it's amateur hour,neutral,vader,,"On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
866.0,2026-08-17 19:29:12,@z28diablo,,He told the Brian Wilson one when I was in diapers. Was only last week but feels like ages ago.,positive,vader,,"On deck, meaning not now, but next. Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
868.0,2026-08-17 19:29:14,@JimboTheComic,,Morgen b2b mister e is going to send meeeee,neutral,vader,,"Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
868.0,2026-08-17 19:29:14,@kane444tree,,What time does the show start?,neutral,vader,,"Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
869.0,2026-08-17 19:29:15,@cynical-bass-terd9531,,my favorite part of his stand up rputine was when he sat back down,positive,vader,,"Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
869.0,2026-08-17 19:29:15,@Grimm_Destroyer,,paid for sucking lol,positive,vader,,"Mr. E, you are on deck and ready, Mr. E. to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian.",true
872.0,2026-08-17 19:29:18,@matisari7982,,phones out and readddyy,neutral,vader,,"to come into the stage. Uh runs the Tuesday night mic at Vibe every Tuesday. So this isn't enough of comedy open mic for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian. >> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell",true
877.0,2026-08-17 19:29:23,@S.D.L-m1j,,Carl we voted the chair last time..lol,neutral,vader,,"for you. Every Tuesday vibe and Kihei, you can check this show out too. Give her Mr. Morgan Tasian. >> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La.",true
882.0,2026-08-17 19:29:28,@Crudermonk985,,cringe :grimacing_face:,neutral,vader,,"you can check this show out too. Give her Mr. Morgan Tasian. >> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L.",true
886.0,2026-08-17 19:29:32,@MartinFelix1,,The mic is the true MVP taking all that hot breath and bad jokes all night,positive,vader,,">> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing?",true
886.0,2026-08-17 19:29:32,@S2P999,,GOOGLE JOKES,positive,vader,,">> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing?",true
888.0,2026-08-17 19:29:34,@pijinFPS,,bro spilled the blow and vacuumed it up,neutral,vader,,">> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well,",true
890.0,2026-08-17 19:29:36,@CarlCramer88,,lol cynical ,positive,vader,,">> Thank you, Chino. Thank you everybody for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare.",true
892.0,2026-08-17 19:29:38,@ONWARD24seven,,when do we start hearing the jokes :grinning_face_with_big_eyes:,positive,vader,,"for being here tonight. It's been a hell of a week. We had a hurricane and shout out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare.",true
899.0,2026-08-17 19:29:45,@MissTessaMarie21,,oh man..this guy's drank way to many hi-balls :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,neutral,vader,,"out to Hurricane La. I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though.",true
900.0,2026-08-17 19:29:46,@I_AM_VISION_ICONIC,,SAY A J3W JOKE!!!!!:rolling_on_the_floor_laughing::smiling_face_with_horns::popcorn::chair:,neutral,vader,,"I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though.",true
901.0,2026-08-17 19:29:47,@gustavob.6337,,damn this guys a tweaker,negative,vader,,"I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though.",true
901.0,2026-08-17 19:29:47,@JimboTheComic,,Almost 100 in the chat baby ,neutral,vader,,"I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though.",true
901.0,2026-08-17 19:29:47,@Cactuszack530,,I got a joke. Your life! Hahahaha,positive,vader,,"I've been in La La Land ever since I heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though.",true
904.0,2026-08-17 19:29:50,@ONWARD24seven,,he said rare like scooby lol,positive,vader,,"heard about La La L. How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say",true
906.0,2026-08-17 19:29:52,@matisari7982,,medium RAREEE,neutral,vader,,"How are y'all doing? >> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish,",true
908.0,2026-08-17 19:29:54,@albannach7943,,He couldn’t ad-lib a fart after a baked-bean dinner.,neutral,vader,,">> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But",true
909.0,2026-08-17 19:29:55,@CarlCramer88,,lol @sdl I know. We will again ,positive,vader,,">> Well, medium rare. >> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than",true
911.0,2026-08-17 19:29:57,@BrandoKOmmando91,,:tomato: :tomato: :tomato: :tomato: :tomato: :tomato: ,neutral,vader,,">> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a",true
913.0,2026-08-17 19:29:59,@S2P999,,this guy's a joke,positive,vader,,">> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a",true
913.0,2026-08-17 19:29:59,@Gir-Riff-raff,,AARP hour ,neutral,vader,,">> Okay. [ __ ] up. All right. That's a good way to be. Um, been trying to eat better. It It's hard though. Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a",true
924.0,2026-08-17 19:30:10,@MartinFelix1,,Got more viewers than the comics got jokes,positive,vader,,"Everything's so bad for you. They say you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a month. >> Yeah, people smoke every day. I mean, the tuna must really be bad for you. Yeah, just the observation. I'm",true
925.0,2026-08-17 19:30:11,@Crudermonk985,,HAHAHAHAHHAHAHA SOOO FUNNY HAHAHAHAHHAHAHAHA,positive,vader,,"you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a month. >> Yeah, people smoke every day. I mean, the tuna must really be bad for you. Yeah, just the observation. I'm",true
926.0,2026-08-17 19:30:12,@S.D.L-m1j,,Carl..the front chair..lol,neutral,vader,,"you shouldn't be eating a lot of fish, you know, cuz we're here in Hawaii. But they say you shouldn't have more than two, maybe three servings of tuna a month. >> Yeah, people smoke every day. I mean, the tuna must really be bad for you. Yeah, just the observation. I'm",true
930.0,2026-08-17 19:30:16,@matisari7982,,bro looks like he just woke up :loudly_crying_face:,positive,vader,,"they say you shouldn't have more than two, maybe three servings of tuna a month. >> Yeah, people smoke every day. I mean, the tuna must really be bad for you. Yeah, just the observation. I'm moving around, moving around, dancing. Uh, no, but I have been trying to eat",true
